INDEX, TIME STAMP, TIME (ms), DEV 1 INPUT 1, DEV 1 INPUT 2, DEV 1 INPUT 3, DEV 1 INPUT 4,
0,11/7/2024 11:41:39,500,0.01,0.001,0.00,-0.31,
1,11/7/2024 11:41:40,1000,0.01,0.001,0.00,-0.35,
2,11/7/2024 11:41:40,1500,0.01,0.001,0.00,-0.35,
3,11/7/2024 11:41:41,2000,0.01,0.001,0.00,-0.35,
4,11/7/2024 11:41:42,2500,0.01,0.001,0.00,-0.35,
5,11/7/2024 11:41:42,3000,0.01,0.001,0.00,-0.35,
6,11/7/2024 11:41:43,3500,0.01,0.001,0.00,-0.35,
7,11/7/2024 11:41:43,4000,0.01,0.001,0.00,-0.38,
8,11/7/2024 11:41:44,4500,0.01,0.001,0.00,-0.38,
9,11/7/2024 11:41:44,5000,0.01,0.001,0.00,-0.38,
10,11/7/2024 11:41:45,5500,0.01,0.001,0.00,-0.38,
11,11/7/2024 11:41:45,6000,0.01,0.001,0.00,-0.38,
12,11/7/2024 11:41:46,6500,0.01,0.001,0.00,-0.38,
13,11/7/2024 11:41:46,7000,0.01,0.001,0.00,-0.38,
14,11/7/2024 11:41:47,7500,0.01,0.001,0.00,-0.38,
15,11/7/2024 11:41:47,8000,0.01,0.001,0.00,-0.41,
16,11/7/2024 11:41:48,8500,0.01,0.001,0.00,-0.41,
17,11/7/2024 11:41:49,9000,0.01,0.001,0.00,-0.41,
18,11/7/2024 11:41:49,9500,0.01,0.001,0.00,-0.41,
19,11/7/2024 11:41:50,10000,0.01,0.001,0.00,-0.41,
20,11/7/2024 11:41:50,10500,0.01,0.001,0.00,-0.41,
21,11/7/2024 11:41:51,11000,0.01,0.001,0.00,-0.41,
22,11/7/2024 11:41:51,11500,0.01,0.001,0.00,-0.45,
23,11/7/2024 11:41:52,12000,0.01,0.001,0.00,-0.45,
24,11/7/2024 11:41:52,12500,0.01,0.001,0.00,-0.45,
25,11/7/2024 11:41:53,13000,0.01,0.001,0.00,-0.45,
26,11/7/2024 11:41:53,13500,0.01,0.001,0.00,-0.45,
27,11/7/2024 11:41:54,14000,0.01,0.001,0.00,-0.45,
28,11/7/2024 11:41:54,14500,0.01,0.001,0.00,-0.45,
29,11/7/2024 11:41:55,15000,0.01,0.001,0.00,-0.45,
30,11/7/2024 11:41:55,15500,0.01,0.001,0.00,-0.48,
31,11/7/2024 11:41:56,16000,0.01,0.001,0.00,-0.52,
32,11/7/2024 11:41:56,16500,0.01,0.001,0.00,-0.52,
33,11/7/2024 11:41:57,17000,0.01,0.001,0.00,-0.52,
34,11/7/2024 11:41:58,17500,0.01,0.001,0.00,-0.52,
