INDEX, TIME STAMP, TIME (ms), DEV 1 INPUT 1, DEV 1 INPUT 2, DEV 1 INPUT 3, DEV 1 INPUT 4,
0,11/7/2024 10:00:39,500,0.01,0.000,0.00,0.21,
1,11/7/2024 10:00:39,1000,0.01,0.000,0.00,0.21,
2,11/7/2024 10:00:40,1500,0.01,0.000,0.00,0.21,
3,11/7/2024 10:00:40,2000,0.01,0.000,0.00,0.21,
4,11/7/2024 10:00:41,2500,0.01,0.000,0.00,0.21,
5,11/7/2024 10:00:42,3000,0.01,0.000,0.00,0.21,
6,11/7/2024 10:00:42,3500,0.01,0.000,0.00,0.21,
7,11/7/2024 10:00:43,4000,0.01,0.000,0.00,0.21,
8,11/7/2024 10:00:43,4500,0.01,0.000,0.00,0.21,
9,11/7/2024 10:00:44,5000,0.01,0.000,0.00,0.21,
10,11/7/2024 10:00:44,5500,0.01,0.000,0.00,0.21,
11,11/7/2024 10:00:45,6000,0.01,0.000,0.00,0.21,
12,11/7/2024 10:00:45,6500,0.01,0.000,0.00,0.21,
13,11/7/2024 10:00:46,7000,0.01,0.000,0.00,0.21,
14,11/7/2024 10:00:46,7500,0.01,0.000,0.00,0.21,
15,11/7/2024 10:00:47,8000,0.01,0.000,0.00,0.21,
16,11/7/2024 10:00:47,8500,0.01,0.000,0.00,0.21,
17,11/7/2024 10:00:48,9000,0.01,0.000,0.00,0.21,
18,11/7/2024 10:00:49,9500,0.01,0.000,0.00,0.17,
19,11/7/2024 10:00:49,10000,0.01,0.000,0.00,0.17,
20,11/7/2024 10:00:50,10500,0.01,0.000,0.00,0.17,
21,11/7/2024 10:00:50,11000,0.01,0.000,0.00,0.21,
22,11/7/2024 10:00:51,11500,0.01,0.000,0.00,0.21,
23,11/7/2024 10:00:51,12000,0.01,-0.001,0.00,0.21,
24,11/7/2024 10:00:52,12500,0.01,-0.001,0.00,0.21,
25,11/7/2024 10:00:52,13000,0.01,0.000,0.00,0.21,
26,11/7/2024 10:00:53,13500,0.01,0.000,0.00,0.21,
27,11/7/2024 10:00:53,14000,0.01,0.000,0.00,0.21,
28,11/7/2024 10:00:54,14500,0.01,0.000,0.00,0.21,
